chain_id,arm,chain_idx,round,fact_idx,descriptor,code,position_frac,position_bucket,survived,mutated,mutant_token
A-0,A,0,5,3,customer account reference,RX2R33X7,0.7567,late,0,0,
A-0,A,0,5,4,incident tracking number,GCDRHARC,0.2315,early,0,0,
A-0,A,0,5,5,webhook signing secret,S6ZD3FE2,0.6471,middle,0,0,
A-0,A,0,5,6,message queue topic suffix,AR586HHA,0.5286,middle,0,0,
A-0,A,0,5,7,session recovery nonce,26V3GJFM,0.9386,late,0,0,
A-0,A,0,5,8,rollback release tag,9KF3F68C,0.4737,middle,0,0,
A-0,A,0,5,9,staging database password,AQ2MKQUS,0.7016,late,0,0,
A-0,A,0,5,10,production API key suffix,PZD8GFFU,0.1129,early,0,0,
A-0,A,0,5,11,container registry token,PRVCYV6V,0.5903,middle,0,0,
A-0,A,0,5,12,on-call routing key,YFNMHTU2,0.8181,late,0,0,
A-0,A,0,5,13,deploy ticket reference,7QXB2286,0.3503,middle,0,0,
A-0,A,0,5,14,monitoring dashboard UID,Q4VQ3W6E,0.4107,middle,0,0,
A-0,A,0,5,15,nightly cron job identifier,S428ZGC5,0.8792,late,0,0,
A-1,A,1,1,0,S3 backup bucket suffix,3EWW8CVW,0.4666,middle,0,0,
A-1,A,1,1,1,VPN gateway auth token,3QNZPJEH,0.9434,late,0,0,
A-1,A,1,1,2,rollback release tag,AAMDUJMC,0.1175,early,1,0,
A-1,A,1,1,3,session recovery nonce,CYFW6ESH,0.7048,late,0,0,
A-1,A,1,1,4,monitoring dashboard UID,AFEYWWMK,0.0596,early,1,0,
A-1,A,1,1,5,container registry token,PYTUVJ57,0.1728,early,0,0,
A-1,A,1,1,6,license activation code,XSQ4SCRC,0.3469,middle,0,0,
A-1,A,1,1,7,on-call routing key,Z9YRQ8U4,0.8825,late,0,0,
A-1,A,1,1,8,SSH deploy key label,ASDUVABW,0.5884,middle,0,0,
A-1,A,1,1,9,message queue topic suffix,ASFJPCQR,0.283,early,0,0,
A-1,A,1,1,10,TLS certificate serial fragment,9DA5MB9H,0.5288,middle,0,0,
A-1,A,1,1,11,incident tracking number,D7MTCCSR,0.2284,early,1,0,
A-1,A,1,1,12,staging database password,4NJW3TEE,0.4077,middle,0,0,
A-1,A,1,1,13,nightly cron job identifier,9XT7R828,0.8262,late,0,0,
A-1,A,1,1,14,feature flag rollout ID,WUS8R9QA,0.643,middle,0,0,
A-1,A,1,1,15,build artifact hash prefix,SCME7XXQ,0.7654,late,0,0,
A-1,A,1,2,0,S3 backup bucket suffix,3EWW8CVW,0.4666,middle,0,0,
A-1,A,1,2,1,VPN gateway auth token,3QNZPJEH,0.9434,late,0,0,
A-1,A,1,2,2,rollback release tag,AAMDUJMC,0.1175,early,1,0,
A-1,A,1,2,3,session recovery nonce,CYFW6ESH,0.7048,late,0,0,
A-1,A,1,2,4,monitoring dashboard UID,AFEYWWMK,0.0596,early,1,0,
A-1,A,1,2,5,container registry token,PYTUVJ57,0.1728,early,0,0,
A-1,A,1,2,6,license activation code,XSQ4SCRC,0.3469,middle,0,0,
A-1,A,1,2,7,on-call routing key,Z9YRQ8U4,0.8825,late,0,0,
A-1,A,1,2,8,SSH deploy key label,ASDUVABW,0.5884,middle,0,0,
A-1,A,1,2,9,message queue topic suffix,ASFJPCQR,0.283,early,0,0,
A-1,A,1,2,10,TLS certificate serial fragment,9DA5MB9H,0.5288,middle,0,0,
A-1,A,1,2,11,incident tracking number,D7MTCCSR,0.2284,early,1,0,
A-1,A,1,2,12,staging database password,4NJW3TEE,0.4077,middle,0,0,
A-1,A,1,2,13,nightly cron job identifier,9XT7R828,0.8262,late,0,0,
A-1,A,1,2,14,feature flag rollout ID,WUS8R9QA,0.643,middle,0,0,
A-1,A,1,2,15,build artifact hash prefix,SCME7XXQ,0.7654,late,0,0,
A-1,A,1,3,0,S3 backup bucket suffix,3EWW8CVW,0.4666,middle,0,0,
A-1,A,1,3,1,VPN gateway auth token,3QNZPJEH,0.9434,late,0,0,
A-1,A,1,3,2,rollback release tag,AAMDUJMC,0.1175,early,1,0,
A-1,A,1,3,3,session recovery nonce,CYFW6ESH,0.7048,late,0,0,
A-1,A,1,3,4,monitoring dashboard UID,AFEYWWMK,0.0596,early,1,0,
A-1,A,1,3,5,container registry token,PYTUVJ57,0.1728,early,0,0,
A-1,A,1,3,6,license activation code,XSQ4SCRC,0.3469,middle,0,0,
A-1,A,1,3,7,on-call routing key,Z9YRQ8U4,0.8825,late,0,0,
A-1,A,1,3,8,SSH deploy key label,ASDUVABW,0.5884,middle,0,0,
A-1,A,1,3,9,message queue topic suffix,ASFJPCQR,0.283,early,0,0,
A-1,A,1,3,10,TLS certificate serial fragment,9DA5MB9H,0.5288,middle,0,0,
A-1,A,1,3,11,incident tracking number,D7MTCCSR,0.2284,early,1,0,
A-1,A,1,3,12,staging database password,4NJW3TEE,0.4077,middle,0,0,
A-1,A,1,3,13,nightly cron job identifier,9XT7R828,0.8262,late,0,0,
A-1,A,1,3,14,feature flag rollout ID,WUS8R9QA,0.643,middle,0,0,
A-1,A,1,3,15,build artifact hash prefix,SCME7XXQ,0.7654,late,0,0,
A-1,A,1,4,0,S3 backup bucket suffix,3EWW8CVW,0.4666,middle,0,0,
A-1,A,1,4,1,VPN gateway auth token,3QNZPJEH,0.9434,late,0,0,
A-1,A,1,4,2,rollback release tag,AAMDUJMC,0.1175,early,1,0,
A-1,A,1,4,3,session recovery nonce,CYFW6ESH,0.7048,late,0,0,
A-1,A,1,4,4,monitoring dashboard UID,AFEYWWMK,0.0596,early,1,0,
A-1,A,1,4,5,container registry token,PYTUVJ57,0.1728,early,0,0,
A-1,A,1,4,6,license activation code,XSQ4SCRC,0.3469,middle,0,0,
A-1,A,1,4,7,on-call routing key,Z9YRQ8U4,0.8825,late,0,0,
A-1,A,1,4,8,SSH deploy key label,ASDUVABW,0.5884,middle,0,0,
A-1,A,1,4,9,message queue topic suffix,ASFJPCQR,0.283,early,0,0,
A-1,A,1,4,10,TLS certificate serial fragment,9DA5MB9H,0.5288,middle,0,0,
A-1,A,1,4,11,incident tracking number,D7MTCCSR,0.2284,early,1,0,
A-1,A,1,4,12,staging database password,4NJW3TEE,0.4077,middle,0,0,
A-1,A,1,4,13,nightly cron job identifier,9XT7R828,0.8262,late,0,0,
A-1,A,1,4,14,feature flag rollout ID,WUS8R9QA,0.643,middle,0,0,
A-1,A,1,4,15,build artifact hash prefix,SCME7XXQ,0.7654,late,0,0,
A-1,A,1,5,0,S3 backup bucket suffix,3EWW8CVW,0.4666,middle,0,0,
A-1,A,1,5,1,VPN gateway auth token,3QNZPJEH,0.9434,late,0,0,
A-1,A,1,5,2,rollback release tag,AAMDUJMC,0.1175,early,1,0,
A-1,A,1,5,3,session recovery nonce,CYFW6ESH,0.7048,late,0,0,
A-1,A,1,5,4,monitoring dashboard UID,AFEYWWMK,0.0596,early,1,0,
A-1,A,1,5,5,container registry token,PYTUVJ57,0.1728,early,0,0,
A-1,A,1,5,6,license activation code,XSQ4SCRC,0.3469,middle,0,0,
A-1,A,1,5,7,on-call routing key,Z9YRQ8U4,0.8825,late,0,0,
A-1,A,1,5,8,SSH deploy key label,ASDUVABW,0.5884,middle,0,0,
A-1,A,1,5,9,message queue topic suffix,ASFJPCQR,0.283,early,0,0,
A-1,A,1,5,10,TLS certificate serial fragment,9DA5MB9H,0.5288,middle,0,0,
A-1,A,1,5,11,incident tracking number,D7MTCCSR,0.2284,early,1,0,
A-1,A,1,5,12,staging database password,4NJW3TEE,0.4077,middle,0,0,
A-1,A,1,5,13,nightly cron job identifier,9XT7R828,0.8262,late,0,0,
A-1,A,1,5,14,feature flag rollout ID,WUS8R9QA,0.643,middle,0,0,
